Gene,logFC,t_stat,p_value,q_value
1554202_x_at,,0.0,1.0,1.0
1554205_s_at,,0.0,1.0,1.0
1554213_at,,0.0,1.0,1.0
1554229_at,,0.0,1.0,1.0
1554237_at,,0.0,1.0,1.0
1554239_s_at,,0.0,1.0,1.0
1554240_a_at,,0.0,1.0,1.0
1554241_at,,0.0,1.0,1.0
1554242_a_at,,0.0,1.0,1.0
1554245_x_at,,0.0,1.0,1.0
1554246_at,,0.0,1.0,1.0
1554249_a_at,,0.0,1.0,1.0
1554250_s_at,,0.0,1.0,1.0
1554251_at,,0.0,1.0,1.0
1554260_a_at,,0.0,1.0,1.0
1554264_at,,0.0,1.0,1.0
1554271_a_at,,0.0,1.0,1.0
1554273_a_at,,0.0,1.0,1.0
1554279_a_at,,0.0,1.0,1.0
1554283_at,,0.0,1.0,1.0
1554285_at,,0.0,1.0,1.0
1554287_at,,0.0,1.0,1.0
1554301_at,,0.0,1.0,1.0
1554306_at,,0.0,1.0,1.0
1554314_at,,0.0,1.0,1.0
1554316_at,,0.0,1.0,1.0
1554321_a_at,,0.0,1.0,1.0
1554327_a_at,,0.0,1.0,1.0
1554333_at,,0.0,1.0,1.0
1554334_a_at,,0.0,1.0,1.0
1554339_a_at,,0.0,1.0,1.0
1554341_a_at,,0.0,1.0,1.0
1554342_s_at,,0.0,1.0,1.0
1554345_a_at,,0.0,1.0,1.0
1554351_a_at,,0.0,1.0,1.0
1554352_s_at,,0.0,1.0,1.0
1554356_at,,0.0,1.0,1.0
1554365_a_at,,0.0,1.0,1.0
1554388_at,,0.0,1.0,1.0
1554390_s_at,,0.0,1.0,1.0
1554393_a_at,,0.0,1.0,1.0
1554397_s_at,,0.0,1.0,1.0
1554400_at,,0.0,1.0,1.0
1554406_a_at,,0.0,1.0,1.0
1554408_a_at,,0.0,1.0,1.0
1554410_a_at,,0.0,1.0,1.0
1554411_at,,0.0,1.0,1.0
1554414_a_at,,0.0,1.0,1.0
1554415_at,,0.0,1.0,1.0
1554417_s_at,,0.0,1.0,1.0
1554420_at,,0.0,1.0,1.0
1554423_a_at,,0.0,1.0,1.0
1554424_at,,0.0,1.0,1.0
1554429_a_at,,0.0,1.0,1.0
1554430_at,,0.0,1.0,1.0
1554432_x_at,,0.0,1.0,1.0
1554433_a_at,,0.0,1.0,1.0
1554438_at,,0.0,1.0,1.0
1554441_a_at,,0.0,1.0,1.0
1554444_s_at,,0.0,1.0,1.0
1554445_at,,0.0,1.0,1.0
1554447_at,,0.0,1.0,1.0
1554450_s_at,,0.0,1.0,1.0
1554451_s_at,,0.0,1.0,1.0
1554452_a_at,,0.0,1.0,1.0
1554455_at,,0.0,1.0,1.0
1554456_a_at,,0.0,1.0,1.0
1554462_a_at,,0.0,1.0,1.0
1554464_a_at,,0.0,1.0,1.0
1554465_s_at,,0.0,1.0,1.0
1554466_a_at,,0.0,1.0,1.0
1554469_at,,0.0,1.0,1.0
1554470_s_at,,0.0,1.0,1.0
1554471_a_at,,0.0,1.0,1.0
1554472_a_at,,0.0,1.0,1.0
1554473_at,,0.0,1.0,1.0
1554474_a_at,,0.0,1.0,1.0
1554476_x_at,,0.0,1.0,1.0
1554478_a_at,,0.0,1.0,1.0
1554479_a_at,,0.0,1.0,1.0
1554480_a_at,,0.0,1.0,1.0
1554482_a_at,,0.0,1.0,1.0
1554485_s_at,,0.0,1.0,1.0
1554489_a_at,,0.0,1.0,1.0
1554493_s_at,,0.0,1.0,1.0
1554496_at,,0.0,1.0,1.0
1554501_at,,0.0,1.0,1.0
1554508_at,,0.0,1.0,1.0
1554509_a_at,,0.0,1.0,1.0
1554510_s_at,,0.0,1.0,1.0
1554512_a_at,,0.0,1.0,1.0
1554513_s_at,,0.0,1.0,1.0
1554518_at,,0.0,1.0,1.0
1554519_at,,0.0,1.0,1.0
1554543_at,,0.0,1.0,1.0
1554544_a_at,,0.0,1.0,1.0
1554547_at,,0.0,1.0,1.0
1554553_s_at,,0.0,1.0,1.0
1554555_a_at,,0.0,1.0,1.0
1554556_a_at,,0.0,1.0,1.0
1554557_at,,0.0,1.0,1.0
1554564_a_at,,0.0,1.0,1.0
1554565_x_at,,0.0,1.0,1.0
1554572_a_at,,0.0,1.0,1.0
1554574_a_at,,0.0,1.0,1.0
1554575_a_at,,0.0,1.0,1.0
1554576_a_at,,0.0,1.0,1.0
1554577_a_at,,0.0,1.0,1.0
1554588_a_at,,0.0,1.0,1.0
1554593_s_at,,0.0,1.0,1.0
1554595_at,,0.0,1.0,1.0
1554597_at,,0.0,1.0,1.0
1554599_x_at,,0.0,1.0,1.0
1554600_s_at,,0.0,1.0,1.0
1554602_at,,0.0,1.0,1.0
1554606_at,,0.0,1.0,1.0
1554608_at,,0.0,1.0,1.0
1554609_at,,0.0,1.0,1.0
1554614_a_at,,0.0,1.0,1.0
1554627_a_at,,0.0,1.0,1.0
1554628_at,,0.0,1.0,1.0
1554636_at,,0.0,1.0,1.0
1554637_a_at,,0.0,1.0,1.0
1554638_at,,0.0,1.0,1.0
1554640_at,,0.0,1.0,1.0
1554660_a_at,,0.0,1.0,1.0
1554661_s_at,,0.0,1.0,1.0
1554663_a_at,,0.0,1.0,1.0
1554667_s_at,,0.0,1.0,1.0
1554670_at,,0.0,1.0,1.0
1554676_at,,0.0,1.0,1.0
1554678_s_at,,0.0,1.0,1.0
1554679_a_at,,0.0,1.0,1.0
1554690_a_at,,0.0,1.0,1.0
1554691_a_at,,0.0,1.0,1.0
1554696_s_at,,0.0,1.0,1.0
1554701_a_at,,0.0,1.0,1.0
1554703_at,,0.0,1.0,1.0
1554712_a_at,,0.0,1.0,1.0
1554721_a_at,,0.0,1.0,1.0
1554726_at,,0.0,1.0,1.0
1554730_at,,0.0,1.0,1.0
1554740_a_at,,0.0,1.0,1.0
1554741_s_at,,0.0,1.0,1.0
1554747_a_at,,0.0,1.0,1.0
1554757_a_at,,0.0,1.0,1.0
1554759_at,,0.0,1.0,1.0
1554761_a_at,,0.0,1.0,1.0
1554762_a_at,,0.0,1.0,1.0
1554767_s_at,,0.0,1.0,1.0
1554768_a_at,,0.0,1.0,1.0
1554769_at,,0.0,1.0,1.0
1554770_x_at,,0.0,1.0,1.0
1554771_at,,0.0,1.0,1.0
1554774_at,,0.0,1.0,1.0
1554780_a_at,,0.0,1.0,1.0
1554789_a_at,,0.0,1.0,1.0
1554793_at,,0.0,1.0,1.0
1554794_a_at,,0.0,1.0,1.0
1554795_a_at,,0.0,1.0,1.0
1554804_a_at,,0.0,1.0,1.0
1554806_a_at,,0.0,1.0,1.0
1554807_a_at,,0.0,1.0,1.0
1554810_at,,0.0,1.0,1.0
