SampleID,PC1,PC2,Type
GSM1116226,12.441508415200245,-45.9798778112893,Unclassified
GSM1116227,38.743307061407975,-40.54083720152649,Unclassified
GSM1116228,32.38781164592986,-70.03080148067943,Unclassified
GSM1116229,24.407155045191992,-23.371384047627423,Unclassified
GSM1116230,51.586953469889856,24.697790652501563,Unclassified
GSM1116231,46.02209030652579,-41.02858403826485,Unclassified
GSM1116232,84.62013658518403,-47.626687748200425,Unclassified
GSM1116233,0.05806893730920695,-38.20521863343447,Unclassified
GSM1116234,41.05323895295274,-47.99358424515004,Unclassified
GSM1116235,42.794507482803475,-56.770957485938496,Unclassified
GSM1116236,-6.133164321586024,-26.53249542313224,Unclassified
GSM1116237,22.54390974107962,-41.78692759805912,Unclassified
GSM1116238,20.307252289454045,-22.420238682945648,Unclassified
